ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
BW,"Babcock & Wilcox Enterprises, I",USA,United States,Industrials,21.85,USD,22.03,0.8,2976.2,4298.0,50.76,49.06,OVERBOUGHT,BUY,-0.88,587.7,1.06,2026-05-17T11:42:31.315782
LLYVK,"Liberty Live Holdings, Inc. - S",USA,United States,Communication Services,99.51,USD,102.62,3.0,9155.4,349.7,25.35,23.8,Bullish,BUY,-3.83,382.0,0.33,2026-05-17T11:42:31.666984
WRB,W.R. Berkley Corporation,USA,United States,Financial Services,66.45,USD,78.96,15.8,24737.8,2104.2,-42.41,-44.63,OVERSOLD,Strong BUY,4.72,14639.9,,2026-05-17T11:42:32.005813
VERA,"Vera Therapeutics, Inc.",USA,United States,Healthcare,37.32,USD,56.05,33.4,2678.9,1183.0,-58.21,-53.74,OVERSOLD,Turning Up,-5.54,0.0,13.64,2026-05-17T11:42:32.049499
ARX,Accelerant Holdings,USA,Cayman Islands,Financial Services,15.44,USD,31.18,50.5,3369.0,1249.4,34.33,30.66,Bullish,BUY,-6.49,879.5,,2026-05-17T11:42:32.101632
TTE,TotalEnergies SE,USA,France,Energy,92.28,USD,93.67,1.5,205278.0,2003.4,68.39,69.9,OVERBOUGHT,Turning Up,6.74,182344.0,0.79,2026-05-17T11:42:32.193793
NEXT,NextDecade Corporation,USA,United States,Energy,9.12,USD,12.12,24.8,2416.7,4720.2,40.51,32.54,OVERBOUGHT,BUY,-1.34,0.0,0.54,2026-05-17T11:42:32.304588
TSCO,Tractor Supply Company,USA,United States,Consumer Cyclical,30.57,USD,63.99,52.2,16032.4,8585.4,-93.64,-91.91,OVERSOLD,Turning Up,2.03,15524.0,0.16,2026-05-17T11:42:32.365038
KOS,Kosmos Energy Ltd.,USA,United States,Energy,3.23,USD,3.32,2.7,1916.0,26008.2,59.85,58.38,OVERBOUGHT,BUY,-1.69,1288.4,0.45,2026-05-17T11:42:32.452565
TRT,Trio-Tech International,USA,United States,Technology,20.05,USD,21.38,6.2,202.8,984.8,46.49,42.26,OVERBOUGHT,BUY,0.04,36.5,4.67,2026-05-17T11:42:32.558973
HNRG,Hallador Energy Company,USA,United States,Energy,18.15,USD,24.7,26.5,855.4,942.0,-30.93,-43.69,Bearish,Strong BUY,0.53,469.5,0.23,2026-05-17T11:42:32.674318
ROIV,Roivant Sciences Ltd.,USA,United Kingdom,Healthcare,29.29,USD,30.33,3.4,20962.9,5409.2,25.9,27.37,Bullish,Turning Up,-1.17,29.1,33.23,2026-05-17T11:42:32.771640
NFGC,New Found Gold Corp,USA,Canada,Basic Materials,2.02,USD,3.59,43.7,775.8,1930.5,-35.7,-41.77,Bearish,Strong BUY,-0.18,5.8,3.48,2026-05-17T11:42:33.178878
KYN,Kayne Anderson MLP/Midstream In,USA,United States,Financial Services,14.39,USD,14.69,2.0,2433.7,417.6,21.04,13.88,Bullish,BUY,-0.28,-66.0,,2026-05-17T11:42:33.388695
VNOM,"Viper Energy, Inc.",USA,United States,Energy,48.98,USD,51.13,4.2,9512.7,2989.6,42.97,43.38,OVERBOUGHT,Turning Up,-0.57,1394.0,3.72,2026-05-17T11:42:33.436821
HESM,Hess Midstream LP,USA,United States,Energy,39.9,USD,44.14,9.6,5121.2,1937.3,15.55,13.07,Bullish,BUY,2.89,1617.2,0.85,2026-05-17T11:42:33.577800
RDY,Dr. Reddy's Laboratories Ltd,USA,India,Healthcare,13.61,USD,16.17,15.8,11362.9,2543.7,-16.33,-21.91,Bearish,BUY,0.53,325535.0,1.37,2026-05-17T11:42:33.628142
KLAR,Klarna Group plc,USA,United Kingdom,Technology,15.17,USD,47.48,68.0,5736.0,7353.8,-26.24,-41.47,Bearish,Strong BUY,-0.52,3510.0,1.09,2026-05-17T11:42:34.137812
