ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
GLOB,Globant S.A.,USA,Luxembourg,Technology,38.91,USD,107.12,63.7,1680.1,1571.0,-61.54,-62.87,OVERSOLD,Strong BUY,2.29,2454.9,1.64,2026-05-17T11:18:32.503527
CL,Colgate-Palmolive Company,USA,United States,Consumer Defensive,88.13,USD,99.33,11.3,70520.7,5996.4,-32.21,-40.86,Bearish,Strong BUY,2.58,20382.0,0.54,2026-05-17T11:18:32.578018
NVAX,"Novavax, Inc.",USA,United States,Healthcare,9.06,USD,11.97,24.3,1489.8,4650.5,-30.51,-39.85,Bearish,Strong BUY,-0.56,1123.5,2.1,2026-05-17T11:18:32.752780
IRDM,Iridium Communications Inc,USA,United States,Communication Services,41.62,USD,44.61,6.7,4400.4,2264.2,68.08,68.76,OVERBOUGHT,Turning Up,0.99,871.7,1.82,2026-05-17T11:18:32.862237
ENB,Enbridge Inc,USA,Canada,Energy,55.31,USD,56.22,1.6,120780.3,4726.9,44.36,46.39,OVERBOUGHT,Turning Up,2.15,65194.0,0.55,2026-05-17T11:18:33.013471
MUR,Murphy Oil Corporation,USA,United States,Energy,40.64,USD,43.34,6.2,5825.7,2388.5,32.27,35.81,Bullish,Turning Up,0.59,2689.8,0.71,2026-05-17T11:18:33.532956
DLTR,"Dollar Tree, Inc.",USA,United States,Consumer Defensive,89.58,USD,142.4,37.1,17443.5,3353.6,-83.24,-81.85,OVERSOLD,Turning Up,5.94,19411.8,0.29,2026-05-17T11:18:33.884870
EVGO,EVgo Inc.,USA,United States,Consumer Cyclical,1.9,USD,5.18,63.3,595.8,4336.0,-38.22,-42.49,Bearish,Strong BUY,-0.34,384.1,2.19,2026-05-17T11:18:34.105290
IPI,"Intrepid Potash, Inc",USA,United States,Basic Materials,41.85,USD,50.34,16.9,562.2,359.1,-29.5,-26.74,Bearish,Turning Up,1.11,298.3,2.29,2026-05-17T11:18:34.156374
NOV,NOV Inc.,USA,United States,Energy,20.37,USD,20.93,2.7,7310.6,4948.4,29.87,25.77,Bullish,BUY,0.25,8744.0,1.67,2026-05-17T11:18:34.221751
RUN,Sunrun Inc.,USA,United States,Technology,13.99,USD,22.44,37.7,3337.3,10006.2,-26.26,-39.37,Bearish,Strong BUY,2.13,2957.0,1.27,2026-05-17T11:18:34.419063
PWR,"Quanta Services, Inc.",USA,United States,Industrials,769.99,USD,788.75,2.4,115544.8,1141.6,81.71,81.55,OVERBOUGHT,BUY,7.31,28479.7,1.09,2026-05-17T11:18:34.607093
ESTC,Elastic N.V.,USA,Netherlands,Technology,50.6,USD,96.07,47.3,5237.2,2154.3,-24.41,-40.16,Bearish,Strong BUY,-0.79,1483.3,1.92,2026-05-17T11:18:34.879783
EIKN,"Eikon Therapeutics, Inc.",USA,United States,Healthcare,13.25,USD,17.4,23.9,717.3,355.4,-35.67,-50.3,Bearish,Strong BUY,-6.32,0.0,6.34,2026-05-17T11:18:35.075816
VG,"Venture Global, Inc.",USA,United States,Energy,14.23,USD,19.5,27.0,35352.4,26828.5,-21.54,-13.96,Bearish,Turning Up,0.96,13769.0,0.87,2026-05-17T11:18:35.180198
PATK,"Patrick Industries, Inc.",USA,United States,Consumer Cyclical,91.19,USD,148.5,38.6,2999.5,463.9,-67.38,-68.83,OVERSOLD,Strong BUY,3.89,3950.8,0.8,2026-05-17T11:18:35.311939
CAH,"Cardinal Health, Inc.",USA,United States,Healthcare,195.2,USD,233.6,16.4,45717.0,1906.3,-61.8,-58.89,OVERSOLD,Turning Up,6.56,222578.0,0.5,2026-05-17T11:18:35.423632
BIOA,"BioAge Labs, Inc.",USA,United States,Healthcare,17.66,USD,24.0,26.4,785.0,487.1,-41.29,-42.18,OVERSOLD,Strong BUY,-2.4,9.0,14.24,2026-05-17T11:18:35.478197
CVE,Cenovus Energy Inc,USA,Canada,Energy,30.82,USD,30.85,0.1,57473.7,12965.6,71.57,68.01,OVERBOUGHT,BUY,1.83,52751.0,1.04,2026-05-17T11:18:35.555454
CHKP,Check Point Software Technologi,USA,Israel,Technology,124.03,USD,233.78,46.9,12902.6,1488.7,-79.19,-81.84,OVERSOLD,Strong BUY,9.72,2725.4,2.05,2026-05-17T11:18:35.671639
POET,POET Technologies Inc.,USA,Canada,Technology,15.97,USD,20.81,23.3,2438.8,30011.7,20.03,15.31,Bullish,BUY,-0.68,1.1,2.19,2026-05-17T11:18:36.044771
SENS,"Senseonics Holdings, Inc.",USA,United States,Healthcare,5.77,USD,12.58,54.1,301.2,702.3,-51.08,-44.5,OVERSOLD,Turning Up,-1.97,35.3,4.55,2026-05-17T11:18:36.163018
MNR,Mach Natural Resources LP,USA,United States,Energy,14.45,USD,15.6,7.4,2430.8,715.7,26.64,20.99,Bullish,BUY,0.74,1175.4,0.93,2026-05-17T11:18:36.249571
CGEM,"Cullinan Therapeutics, Inc.",USA,United States,Healthcare,15.73,USD,16.74,6.0,966.7,854.5,4.46,-0.59,Bullish,BUY,-3.37,0.0,10.25,2026-05-17T11:18:36.319957
SIBN,"SI-BONE, Inc.",USA,United States,Healthcare,14.16,USD,21.89,35.3,628.0,729.8,-34.04,-45.47,Bearish,Strong BUY,-0.39,200.9,7.21,2026-05-17T11:18:36.477391
ASTS,"AST SpaceMobile, Inc.",USA,United States,Technology,83.67,USD,129.89,35.6,24996.1,15700.5,-40.75,-45.13,OVERSOLD,Strong BUY,-1.8,70.9,16.27,2026-05-17T11:18:36.961933
SCCO,Southern Copper Corporation,USA,United States,Basic Materials,176.78,USD,221.67,20.3,147492.1,1654.4,-10.75,-13.85,Bearish,BUY,5.9,13420.0,3.4,2026-05-17T11:18:37.104875
ALL,Allstate Corporation (The),USA,United States,Financial Services,217.37,USD,222.23,2.2,55955.6,1464.0,38.95,38.71,Bullish,BUY,45.19,67069.0,,2026-05-17T11:18:37.531111
EE,"Excelerate Energy, Inc.",USA,United States,Energy,35.71,USD,43.17,17.3,1136.9,484.9,-39.54,-47.57,Bearish,Strong BUY,1.19,1228.3,2.34,2026-05-17T11:18:37.638530
ARX,Accelerant Holdings,USA,Cayman Islands,Financial Services,15.44,USD,31.18,50.5,3369.0,1249.4,34.33,30.66,Bullish,BUY,-6.49,879.5,,2026-05-17T11:18:37.641157
CDRE,"Cadre Holdings, Inc.",USA,United States,Industrials,29.78,USD,48.76,38.9,1274.5,427.3,-73.58,-75.99,OVERSOLD,Strong BUY,0.84,610.3,2.54,2026-05-17T11:18:37.758366
TPB,"Turning Point Brands, Inc.",USA,United States,Consumer Defensive,89.56,USD,146.9,39.0,1734.6,502.0,-34.77,-47.11,Bearish,Strong BUY,2.92,463.1,4.12,2026-05-17T11:18:37.905531
EL,"Estee Lauder Companies, Inc. (T",USA,United States,Consumer Defensive,80.28,USD,121.64,34.0,29044.9,4452.4,-36.74,-47.46,Bearish,Strong BUY,-0.7,14326.0,0.92,2026-05-17T11:18:37.934132
FICO,Fair Isaac Corporation,USA,United States,Technology,1098.59,USD,2217.6,50.5,25477.3,370.1,-38.24,-46.62,Bearish,Strong BUY,31.53,1990.9,0.83,2026-05-17T11:18:38.128003
NEXT,NextDecade Corporation,USA,United States,Energy,9.12,USD,12.12,24.8,2416.7,4720.2,40.51,32.54,OVERBOUGHT,BUY,-1.34,0.0,0.54,2026-05-17T11:18:38.214414
CLX,Clorox Company (The),USA,United States,Consumer Defensive,90.45,USD,136.69,33.8,10937.3,2644.4,-73.73,-74.48,OVERSOLD,Strong BUY,6.15,7104.0,0.57,2026-05-17T11:18:38.435449
SUNC,SunocoCorp LLC,USA,United States,Energy,71.4,USD,71.71,0.4,3678.3,567.4,74.6,70.27,OVERBOUGHT,BUY,9.6,25201.0,0.78,2026-05-17T11:18:38.454529
NE,Noble Corporation plc A,USA,United States,Energy,52.9,USD,54.57,3.1,8440.0,1746.9,47.56,49.88,OVERBOUGHT,Turning Up,1.43,3285.6,1.67,2026-05-17T11:18:39.029447
TXRH,"Texas Roadhouse, Inc.",USA,United States,Consumer Cyclical,177.97,USD,199.99,11.0,11697.9,1143.4,-10.94,-33.44,Bearish,Strong BUY,6.26,5878.1,0.45,2026-05-17T11:18:39.110967
TRT,Trio-Tech International,USA,United States,Technology,20.05,USD,21.38,6.2,202.8,984.8,46.49,42.26,OVERBOUGHT,BUY,0.04,36.5,4.67,2026-05-17T11:18:39.175098
PLSE,"Pulse Biosciences, Inc",USA,United States,Healthcare,24.55,USD,27.98,12.3,1699.1,321.9,4.75,6.65,Bullish,Turning Up,-1.1,0.3,10.51,2026-05-17T11:18:39.340746
HSY,The Hershey Company,USA,United States,Consumer Defensive,186.98,USD,239.48,21.9,37927.7,1907.4,-74.88,-69.34,OVERSOLD,Turning Up,5.37,11692.6,0.77,2026-05-17T11:18:39.680383
HLIO,"Helios Technologies, Inc.",USA,United States,Industrials,77.03,USD,80.0,3.7,2545.6,377.4,8.05,-3.23,Bullish,BUY,1.82,839.0,1.58,2026-05-17T11:18:39.682840
RIG,Transocean Ltd (Switzerland),USA,Switzerland,Energy,7.04,USD,7.14,1.4,7859.7,37653.7,27.15,24.18,Bullish,BUY,-2.89,3965.0,1.27,2026-05-17T11:18:39.822634
TSCO,Tractor Supply Company,USA,United States,Consumer Cyclical,30.57,USD,63.99,52.2,16032.4,8585.4,-93.64,-91.91,OVERSOLD,Turning Up,2.03,15524.0,0.16,2026-05-17T11:18:39.891423
METC,"Ramaco Resources, Inc.",USA,United States,Basic Materials,14.51,USD,57.8,74.9,945.7,1810.8,-38.37,-48.76,Bearish,Strong BUY,-1.1,536.6,4.66,2026-05-17T11:18:40.064600
SM,SM Energy Company,USA,United States,Energy,32.59,USD,33.25,2.0,7813.4,6111.9,48.03,45.78,OVERBOUGHT,BUY,2.37,3138.0,0.69,2026-05-17T11:18:40.129963
STE,STERIS plc (Ireland),USA,United States,Healthcare,212.11,USD,269.44,21.3,20818.0,820.1,-48.29,-52.96,OVERSOLD,Strong BUY,7.93,5459.5,1.39,2026-05-17T11:18:40.339490
ET,Energy Transfer LP,USA,United States,Energy,20.15,USD,20.67,2.5,69339.4,16214.5,37.06,35.49,Bullish,BUY,1.2,85536.0,0.9,2026-05-17T11:18:40.403777
WBI,WaterBridge Infrastructure LLC,USA,United States,Energy,30.72,USD,30.87,0.5,1444.3,906.9,53.93,47.92,OVERBOUGHT,BUY,0.07,525.6,1.38,2026-05-17T11:18:40.590368
SEDG,"SolarEdge Technologies, Inc.",USA,Israel,Technology,61.76,USD,63.53,2.8,3756.1,4054.3,30.64,21.35,Bullish,BUY,-6.13,1184.4,1.48,2026-05-17T11:18:41.076239
BLND,"Blend Labs, Inc.",USA,United States,Technology,1.45,USD,4.49,67.7,351.1,4018.6,-58.46,-61.19,OVERSOLD,Strong BUY,-0.07,123.6,2.48,2026-05-17T11:18:41.136868
SEPN,"Septerna, Inc.",USA,United States,Healthcare,26.95,USD,32.63,17.4,1214.8,326.7,-50.72,-57.68,OVERSOLD,Strong BUY,-0.8,46.0,4.73,2026-05-17T11:18:41.189751
TTE,TotalEnergies SE,USA,France,Energy,92.28,USD,93.67,1.5,205278.0,2003.4,68.39,69.9,OVERBOUGHT,Turning Up,6.74,182344.0,0.79,2026-05-17T11:18:41.375902
NVS,Novartis AG,USA,Switzerland,Healthcare,148.08,USD,170.46,13.1,282550.3,1959.8,-49.48,-45.46,OVERSOLD,Turning Up,6.97,56674.0,0.89,2026-05-17T11:18:41.722915
SDRL,Seadrill Limited,USA,United States,Energy,52.7,USD,52.87,0.3,3295.4,763.0,74.73,70.41,OVERBOUGHT,BUY,-1.12,1437.0,2.03,2026-05-17T11:18:41.791942
CALM,"Cal-Maine Foods, Inc.",USA,United States,Consumer Defensive,76.88,USD,126.4,39.2,3642.3,879.4,-58.16,-58.18,OVERSOLD,Strong BUY,14.37,4261.9,5.42,2026-05-17T11:18:41.918622
SARO,"StandardAero, Inc.",USA,United States,Industrials,25.25,USD,34.48,26.8,8394.9,4190.6,-68.16,-70.14,OVERSOLD,Strong BUY,0.88,6062.5,1.57,2026-05-17T11:18:41.964688
RLI,RLI Corp.,USA,United States,Financial Services,50.82,USD,77.24,34.2,4672.3,788.4,-74.09,-70.44,OVERSOLD,Turning Up,4.29,1882.4,,2026-05-17T11:18:42.407102
VNOM,"Viper Energy, Inc.",USA,United States,Energy,48.98,USD,51.13,4.2,9512.7,2989.6,42.97,43.38,OVERBOUGHT,Turning Up,-0.57,1394.0,3.72,2026-05-17T11:18:42.510985
CNH,CNH Industrial N.V.,USA,United Kingdom,Industrials,10.43,USD,14.27,26.9,12932.7,16300.5,-42.18,-43.88,OVERSOLD,Strong BUY,0.32,18095.0,1.9,2026-05-17T11:18:42.558438
ACI,"Albertsons Companies, Inc.",USA,United States,Consumer Defensive,16.4,USD,22.78,28.0,8110.4,6381.4,-46.93,-43.7,OVERSOLD,Turning Up,0.4,83172.5,0.2,2026-05-17T11:18:42.864442
PAA,"Plains All American Pipeline, L",USA,United States,Energy,22.9,USD,23.04,0.6,16156.7,3395.3,42.32,39.78,OVERBOUGHT,BUY,1.11,44262.0,0.92,2026-05-17T11:18:43.018171
LI,Li Auto Inc.,USA,China,Consumer Cyclical,18.51,USD,32.03,42.2,18892.5,3077.9,1.17,3.6,Bullish,Turning Up,0.16,112312.5,1.68,2026-05-17T11:18:43.147776
SLS,"SELLAS Life Sciences Group, Inc",USA,United States,Healthcare,7.08,USD,7.8,9.2,1317.1,6862.5,17.45,6.11,Bullish,BUY,-0.23,0.0,10.72,2026-05-17T11:18:43.355865
MMM,3M Company,USA,United States,Industrials,146.22,USD,177.41,17.6,76263.6,3892.3,-55.05,-55.8,OVERSOLD,Strong BUY,5.19,24948.0,1.33,2026-05-17T11:18:43.467104
VERA,"Vera Therapeutics, Inc.",USA,United States,Healthcare,37.32,USD,56.05,33.4,2678.9,1183.0,-58.21,-53.74,OVERSOLD,Turning Up,-5.54,0.0,13.64,2026-05-17T11:18:43.566480
AG,First Majestic Silver Corp.,USA,Canada,Basic Materials,20.42,USD,32.04,36.3,10082.8,18542.2,-53.86,-53.97,OVERSOLD,Strong BUY,0.59,1265.2,2.41,2026-05-17T11:18:43.677485
MMSI,"Merit Medical Systems, Inc.",USA,United States,Healthcare,61.36,USD,100.05,38.7,3660.4,826.6,-80.03,-79.17,OVERSOLD,Turning Up,2.32,1515.9,2.95,2026-05-17T11:18:43.867268
RSG,"Republic Services, Inc.",USA,United States,Industrials,208.32,USD,258.75,19.5,64092.6,1574.1,-63.02,-60.99,OVERSOLD,Turning Up,6.98,16591.0,0.62,2026-05-17T11:18:44.026959
NUAI,"New Era Energy & Digital, Inc.",USA,United States,Technology,4.88,USD,9.44,48.3,484.8,4874.6,-29.87,-39.64,Bearish,Strong BUY,-1.04,0.9,1.57,2026-05-17T11:18:44.081716
SD,"SandRidge Energy, Inc.",USA,United States,Energy,15.27,USD,18.45,17.2,563.7,404.0,-48.02,-44.5,OVERSOLD,Turning Up,2.05,156.4,2.17,2026-05-17T11:18:44.129348
RDY,Dr. Reddy's Laboratories Ltd,USA,India,Healthcare,13.61,USD,16.17,15.8,11362.9,2543.7,-16.33,-21.91,Bearish,BUY,0.53,325535.0,1.37,2026-05-17T11:18:44.214567
SID,Companhia Siderurgica Nacional ,USA,Brazil,Basic Materials,1.26,USD,2.2,42.7,1675.5,5029.9,-34.33,-42.82,Bearish,Strong BUY,-0.27,44797.9,0.71,2026-05-17T11:18:44.372093
BZH,"Beazer Homes USA, Inc.",USA,United States,Consumer Cyclical,22.12,USD,28.33,21.9,604.6,562.4,-36.1,-41.22,Bearish,Strong BUY,-0.18,2371.6,1.45,2026-05-17T11:18:44.742992
MAMA,"Mama's Creations, Inc.",USA,United States,Consumer Defensive,14.45,USD,17.85,19.0,587.5,421.7,-54.64,-52.55,OVERSOLD,Turning Up,0.13,171.7,,2026-05-17T11:18:45.184021
DVN,Devon Energy Corporation,USA,United States,Energy,49.49,USD,52.71,6.1,57061.5,15377.8,18.99,22.42,Bullish,Turning Up,3.59,17188.0,,2026-05-17T11:18:45.192012
BSM,BSM,USA,--,--,14.01,USD,15.49,9.6,2977.1,455.6,-29.85,-29.38,Bearish,Strong BUY,,,,2026-05-17T11:18:45.198006
BLCO,Bausch + Lomb Corporation,USA,Canada,Healthcare,16.09,USD,18.92,14.9,5736.7,473.4,-37.22,-39.32,Bearish,Strong BUY,-0.62,,,2026-05-17T11:18:45.225027
COST,COST,USA,--,--,1048.95,USD,1067.08,1.7,465369.3,1814.9,46.93,40.37,OVERBOUGHT,BUY,,,,2026-05-17T11:18:45.230837
IBRX,IBRX,USA,--,--,7.97,USD,12.43,35.9,8347.4,24682.0,-38.38,-39.98,Bearish,Strong BUY,,,,2026-05-17T11:18:45.302026
FN,FN,USA,--,--,722.04,USD,748.89,3.6,25870.5,738.9,61.91,61.67,OVERBOUGHT,BUY,,,,2026-05-17T11:18:45.308490
RAPP,RAPP,USA,--,--,37.07,USD,42.27,12.3,1772.9,346.5,46.05,45.91,OVERBOUGHT,BUY,,,,2026-05-17T11:18:45.324899
