ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
JHG,JHG,USA,--,--,51.72,USD,53.76,3.8,7968.8,3195.4,19.86,18.17,Bullish,BUY,,3097.3,4.18,2026-05-17T10:47:14.628485
COMP,COMP,USA,--,--,7.88,USD,13.95,43.5,5887.6,15318.4,-28.29,-41.08,Bearish,Strong BUY,,6961.6,0.86,2026-05-17T10:47:14.736715
SPIR,SPIR,USA,--,--,20.01,USD,23.59,15.2,774.6,1501.8,37.73,38.42,Bullish,Turning Up,,71.6,1.3,2026-05-17T10:47:14.800097
KNTK,KNTK,USA,--,--,51.27,USD,51.51,0.5,3773.6,1347.5,56.01,53.92,OVERBOUGHT,BUY,,1764.4,0.69,2026-05-17T10:47:15.085506
BRK-B,BRK-B,USA,--,--,482.7,USD,516.85,6.6,1041113.4,4783.9,-38.86,-46.22,Bearish,Strong BUY,,410522.0,,2026-05-17T10:47:15.207939
HESM,HESM,USA,--,--,39.9,USD,44.14,9.6,5121.2,1937.3,15.55,13.07,Bullish,BUY,,1617.2,0.85,2026-05-17T10:47:15.280620
EXK,EXK,USA,--,--,9.81,USD,15.15,35.2,2904.4,9896.5,-37.67,-42.66,Bearish,Strong BUY,,467.5,1.3,2026-05-17T10:47:15.677387
SDRL,SDRL,USA,--,--,52.7,USD,52.87,0.3,3295.4,763.0,74.73,70.41,OVERBOUGHT,BUY,,1437.0,2.03,2026-05-17T10:47:15.955907
ASTS,ASTS,USA,--,--,83.67,USD,129.89,35.6,24996.1,15700.5,-40.75,-45.13,OVERSOLD,Strong BUY,,70.9,16.27,2026-05-17T10:47:16.020237
CGEM,CGEM,USA,--,--,15.73,USD,16.74,6.0,966.7,854.5,4.46,-0.59,Bullish,BUY,,0.0,10.25,2026-05-17T10:47:16.347800
NOV,NOV,USA,--,--,20.37,USD,20.93,2.7,7310.6,4948.4,29.87,25.77,Bullish,BUY,,8744.0,1.67,2026-05-17T10:47:16.432494
ET,ET,USA,--,--,20.15,USD,20.67,2.5,69339.4,16214.5,37.06,35.49,Bullish,BUY,,85536.0,0.9,2026-05-17T10:47:16.681645
TRGP,TRGP,USA,--,--,271.99,USD,273.11,0.4,58381.0,1463.4,56.01,53.31,OVERBOUGHT,BUY,,17028.3,0.55,2026-05-17T10:47:16.768105
PUMP,PUMP,USA,--,--,17.45,USD,18.5,5.7,2139.7,3717.8,51.13,52.81,OVERBOUGHT,Turning Up,,1269.2,1.24,2026-05-17T10:47:16.858192
BJ,BJ,USA,--,--,96.36,USD,120.08,19.8,12304.4,1887.1,-29.86,-32.95,Bearish,Strong BUY,,21457.3,0.16,2026-05-17T10:47:16.937959
ROIV,ROIV,USA,--,--,29.29,USD,30.33,3.4,20962.9,5409.2,25.9,27.37,Bullish,Turning Up,,29.1,33.23,2026-05-17T10:47:17.094147
DLTR,DLTR,USA,--,--,89.58,USD,142.4,37.1,17443.5,3353.6,-83.24,-81.85,OVERSOLD,Turning Up,,19411.8,0.29,2026-05-17T10:47:17.222167
NMAX,NMAX,USA,--,--,7.2,USD,27.49,73.8,930.0,1551.5,-46.87,-45.18,OVERSOLD,Turning Up,,189.3,2.38,2026-05-17T10:47:17.331871
CL,CL,USA,--,--,88.13,USD,99.33,11.3,70520.7,5996.4,-32.21,-40.86,Bearish,Strong BUY,,20382.0,0.54,2026-05-17T10:47:17.786613
HPK,HPK,USA,--,--,7.1,USD,12.0,40.8,897.1,1034.6,6.15,7.38,Bullish,Turning Up,,863.4,,2026-05-17T10:47:17.971284
PWR,PWR,USA,--,--,769.99,USD,788.75,2.4,115544.8,1141.6,81.71,81.55,OVERBOUGHT,BUY,,28479.7,1.09,2026-05-17T10:47:18.045092
AMBP,AMBP,USA,--,--,3.95,USD,5.03,21.5,2360.9,1528.6,-51.61,-53.09,OVERSOLD,Strong BUY,,5497.0,0.77,2026-05-17T10:47:18.130780
SONY,SONY,USA,--,--,22.31,USD,30.34,26.5,131808.8,6125.5,-32.72,-44.16,Bearish,Strong BUY,,12957064.0,0.57,2026-05-17T10:47:18.151453
TXRH,TXRH,USA,--,--,177.97,USD,199.99,11.0,11697.9,1143.4,-10.94,-33.44,Bearish,Strong BUY,,5878.1,0.45,2026-05-17T10:47:18.851398
MGNX,MGNX,USA,--,--,4.25,USD,4.35,2.3,270.1,1254.1,49.05,47.02,OVERBOUGHT,BUY,,149.5,4.92,2026-05-17T10:47:18.927653
USAS,USAS,USA,--,--,6.25,USD,10.5,40.5,2036.8,6350.8,-37.82,-42.6,Bearish,Strong BUY,,117.9,1.66,2026-05-17T10:47:19.065965
WBI,WBI,USA,--,--,30.72,USD,30.87,0.5,1444.3,906.9,53.93,47.92,OVERBOUGHT,BUY,,525.6,1.38,2026-05-17T10:47:19.375366
COST,COST,USA,--,--,1048.95,USD,1067.08,1.7,465369.3,1814.9,46.93,40.37,OVERBOUGHT,BUY,,275235.0,0.55,2026-05-17T10:47:19.467481
PATK,PATK,USA,--,--,91.19,USD,148.5,38.6,2999.5,463.9,-67.38,-68.83,OVERSOLD,Strong BUY,,3950.8,0.8,2026-05-17T10:47:19.685496
IMO,IMO,USA,--,--,134.73,USD,135.04,0.2,66992.9,708.4,50.05,49.24,OVERBOUGHT,BUY,,45203.0,0.83,2026-05-17T10:47:20.025084
NVAX,NVAX,USA,--,--,9.06,USD,11.97,24.3,1489.8,4650.5,-30.51,-39.85,Bearish,Strong BUY,,1123.5,2.1,2026-05-17T10:47:20.031025
ACI,ACI,USA,--,--,16.4,USD,22.78,28.0,8110.4,6381.4,-46.93,-43.7,OVERSOLD,Turning Up,,83172.5,0.2,2026-05-17T10:47:20.220441
POET,POET,USA,--,--,15.97,USD,20.81,23.3,2438.8,30011.7,20.03,15.31,Bullish,BUY,,1.1,2.19,2026-05-17T10:47:20.313433
MO,MO,USA,--,--,73.09,USD,74.56,2.0,122052.3,9447.3,47.11,42.93,OVERBOUGHT,BUY,,20139.0,0.53,2026-05-17T10:47:20.493400
MAMA,MAMA,USA,--,--,14.45,USD,17.85,19.0,587.5,421.7,-54.64,-52.55,OVERSOLD,Turning Up,,171.7,1.71,2026-05-17T10:47:20.588192
WMB,WMB,USA,--,--,77.72,USD,78.24,0.7,95051.4,6371.6,31.52,28.48,Bullish,BUY,,11950.0,0.48,2026-05-17T10:47:20.960802
FANG,FANG,USA,--,--,203.56,USD,214.51,5.1,57264.1,3307.4,40.27,43.32,OVERBOUGHT,Turning Up,,14929.0,0.4,2026-05-17T10:47:21.076290
RPRX,RPRX,USA,--,--,52.85,USD,53.47,1.2,23427.0,3323.8,78.69,77.36,OVERBOUGHT,BUY,,2378.2,2.4,2026-05-17T10:47:21.325515
CMCO,CMCO,USA,--,--,14.28,USD,24.4,41.5,410.4,405.3,-39.05,-44.84,Bearish,Strong BUY,,963.0,1.04,2026-05-17T10:47:21.594400
TKO,TKO,USA,--,--,190.07,USD,226.94,16.2,14249.1,1378.5,-63.04,-62.98,OVERSOLD,Turning Up,,4735.2,1.23,2026-05-17T10:47:22.020981
VNOM,VNOM,USA,--,--,48.98,USD,51.13,4.2,9512.7,2989.6,42.97,43.38,OVERBOUGHT,Turning Up,,1394.0,3.72,2026-05-17T10:47:22.140855
CELH,CELH,USA,--,--,30.16,USD,66.74,54.8,7710.1,7766.2,-85.31,-85.63,OVERSOLD,Strong BUY,,2515.3,1.37,2026-05-17T10:47:22.276383
CALM,CALM,USA,--,--,76.88,USD,126.4,39.2,3642.3,879.4,-58.16,-58.18,OVERSOLD,Strong BUY,,4261.9,5.42,2026-05-17T10:47:22.412824
SM,SM,USA,--,--,32.59,USD,33.25,2.0,7813.4,6111.9,48.03,45.78,OVERBOUGHT,BUY,,3138.0,0.69,2026-05-17T10:47:22.460303
DVN,DVN,USA,--,--,49.49,USD,52.71,6.1,57061.5,15377.8,18.99,22.42,Bullish,Turning Up,,17188.0,0.9,2026-05-17T10:47:22.544010
SCCO,SCCO,USA,--,--,176.78,USD,221.67,20.3,147492.1,1654.4,-10.75,-13.85,Bearish,BUY,,13420.0,3.4,2026-05-17T10:47:22.610935
MMM,MMM,USA,--,--,146.22,USD,177.41,17.6,76263.6,3892.3,-55.05,-55.8,OVERSOLD,Strong BUY,,24948.0,1.33,2026-05-17T10:47:22.672158
SEDG,SEDG,USA,--,--,61.76,USD,63.53,2.8,3756.1,4054.3,30.64,21.35,Bullish,BUY,,1184.4,1.48,2026-05-17T10:47:23.127321
NJR,NJR,USA,--,--,57.33,USD,57.91,1.0,5785.8,540.8,50.6,52.6,OVERBOUGHT,Turning Up,,2036.4,0.4,2026-05-17T10:47:23.175298
SU,SU,USA,--,--,68.29,USD,70.29,2.8,80633.1,4780.5,52.6,54.34,OVERBOUGHT,Turning Up,,52377.0,0.89,2026-05-17T10:47:23.462959
BIOA,BIOA,USA,--,--,17.66,USD,24.0,26.4,785.0,487.1,-41.29,-42.18,OVERSOLD,Strong BUY,,9.0,14.24,2026-05-17T10:47:23.615296
WTTR,WTTR,USA,--,--,18.96,USD,19.04,0.4,2357.8,2043.6,69.39,66.29,OVERBOUGHT,BUY,,1407.3,1.42,2026-05-17T10:47:23.715017
WIT,WIT,USA,--,--,1.89,USD,3.13,39.6,19816.9,13330.8,-81.56,-79.57,OVERSOLD,Turning Up,,890884.0,2.71,2026-05-17T10:47:24.077131
